ts,venue,symbol,side,qty,price,fee_bps,is_paper
2026-05-07T16:05:04.898641Z,extended,MSTR_24_5-USD,buy,2.00000000,178.13000000,8.0000,1
2026-05-07T16:05:04.904040Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:05:09.915028Z,extended,MSTR_24_5-USD,sell,2.00000000,177.94000000,8.0000,1
2026-05-07T16:05:09.916052Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:08:25.097203Z,extended,MSTR_24_5-USD,buy,1.95000000,177.53000000,8.0000,1
2026-05-07T16:08:25.101458Z,grvt,MSTR_USDT_Perp,sell,1.95000000,179.76000000,4.5000,1
2026-05-07T16:08:30.109957Z,extended,MSTR_24_5-USD,sell,1.95000000,177.25000000,8.0000,1
2026-05-07T16:08:30.109957Z,grvt,MSTR_USDT_Perp,buy,1.95000000,179.87000000,4.5000,1
2026-05-07T16:08:50.144475Z,extended,MSTR_24_5-USD,buy,1.63000000,177.57000000,8.0000,1
2026-05-07T16:08:50.146599Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:08:55.149792Z,extended,MSTR_24_5-USD,sell,1.63000000,177.41000000,8.0000,1
2026-05-07T16:08:55.154406Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:10:20.284854Z,extended,MSTR_24_5-USD,buy,2.00000000,177.79000000,8.0000,1
2026-05-07T16:10:20.287818Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:10:25.298315Z,extended,MSTR_24_5-USD,sell,2.00000000,177.46000000,8.0000,1
2026-05-07T16:10:25.298315Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:10:40.301460Z,extended,MSTR_24_5-USD,buy,1.95000000,177.63000000,8.0000,1
2026-05-07T16:10:40.307487Z,grvt,MSTR_USDT_Perp,sell,1.95000000,179.76000000,4.5000,1
2026-05-07T16:10:45.318168Z,extended,MSTR_24_5-USD,sell,1.95000000,177.60000000,8.0000,1
2026-05-07T16:10:45.319176Z,grvt,MSTR_USDT_Perp,buy,1.95000000,179.87000000,4.5000,1
2026-05-07T16:11:35.349884Z,extended,MSTR_24_5-USD,buy,1.63000000,177.69000000,8.0000,1
2026-05-07T16:11:35.354640Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:11:40.365571Z,extended,MSTR_24_5-USD,sell,1.63000000,177.46000000,8.0000,1
2026-05-07T16:11:40.365571Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:12:05.412167Z,extended,MSTR_24_5-USD,buy,1.95000000,177.51000000,8.0000,1
2026-05-07T16:12:05.412851Z,grvt,MSTR_USDT_Perp,sell,1.95000000,179.76000000,4.5000,1
2026-05-07T16:12:10.422964Z,extended,MSTR_24_5-USD,sell,1.95000000,177.45000000,8.0000,1
2026-05-07T16:12:10.422964Z,grvt,MSTR_USDT_Perp,buy,1.95000000,179.87000000,4.5000,1
2026-05-07T16:12:15.419019Z,extended,MSTR_24_5-USD,buy,1.63000000,177.57000000,8.0000,1
2026-05-07T16:12:15.419019Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:12:25.438340Z,extended,MSTR_24_5-USD,sell,1.63000000,177.53000000,8.0000,1
2026-05-07T16:12:25.438340Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:12:30.441891Z,extended,MSTR_24_5-USD,buy,1.95500000,177.77000000,8.0000,1
2026-05-07T16:12:30.447134Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:12:35.455482Z,extended,MSTR_24_5-USD,sell,1.95500000,177.51000000,8.0000,1
2026-05-07T16:12:35.455482Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:13:10.513861Z,extended,MSTR_24_5-USD,buy,1.63000000,177.68000000,8.0000,1
2026-05-07T16:13:10.518546Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:13:15.537190Z,extended,MSTR_24_5-USD,sell,1.63000000,177.60000000,8.0000,1
2026-05-07T16:13:15.537190Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:13:50.594604Z,extended,MSTR_24_5-USD,buy,1.94500000,177.73000000,8.0000,1
2026-05-07T16:13:50.599030Z,grvt,MSTR_USDT_Perp,sell,1.94500000,179.76000000,4.5000,1
2026-05-07T16:13:55.593945Z,extended,MSTR_24_5-USD,sell,1.94500000,177.57000000,8.0000,1
2026-05-07T16:13:55.595449Z,grvt,MSTR_USDT_Perp,buy,1.94500000,179.87000000,4.5000,1
2026-05-07T16:14:20.616300Z,extended,MSTR_24_5-USD,buy,1.95500000,177.89000000,8.0000,1
2026-05-07T16:14:20.617806Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:14:25.627954Z,extended,MSTR_24_5-USD,sell,1.95500000,177.73000000,8.0000,1
2026-05-07T16:14:25.627954Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:15:10.683969Z,extended,MSTR_24_5-USD,buy,2.00000000,177.40000000,8.0000,1
2026-05-07T16:15:10.689086Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:15:15.696040Z,extended,MSTR_24_5-USD,sell,2.00000000,177.04000000,8.0000,1
2026-05-07T16:15:15.696040Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:16:05.757926Z,extended,MSTR_24_5-USD,buy,1.95500000,177.17000000,8.0000,1
2026-05-07T16:16:05.759964Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:16:10.752618Z,extended,MSTR_24_5-USD,sell,1.95500000,177.03000000,8.0000,1
2026-05-07T16:16:10.752618Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:16:15.758805Z,extended,MSTR_24_5-USD,buy,1.94500000,177.15000000,8.0000,1
2026-05-07T16:16:15.763653Z,grvt,MSTR_USDT_Perp,sell,1.94500000,179.76000000,4.5000,1
2026-05-07T16:16:20.757407Z,extended,MSTR_24_5-USD,sell,1.94500000,177.00000000,8.0000,1
2026-05-07T16:16:20.757407Z,grvt,MSTR_USDT_Perp,buy,1.94500000,179.87000000,4.5000,1
2026-05-07T16:16:25.761410Z,extended,MSTR_24_5-USD,buy,1.94500000,177.15000000,8.0000,1
2026-05-07T16:16:25.761410Z,grvt,MSTR_USDT_Perp,sell,1.94500000,179.76000000,4.5000,1
2026-05-07T16:16:30.767019Z,extended,MSTR_24_5-USD,sell,1.94500000,177.05000000,8.0000,1
2026-05-07T16:16:30.772094Z,grvt,MSTR_USDT_Perp,buy,1.94500000,179.87000000,4.5000,1
2026-05-07T16:17:15.840843Z,extended,MSTR_24_5-USD,buy,2.00000000,176.98000000,8.0000,1
2026-05-07T16:17:15.845468Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:17:20.856249Z,extended,MSTR_24_5-USD,sell,2.00000000,176.82000000,8.0000,1
2026-05-07T16:17:20.856249Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:17:35.861469Z,extended,MSTR_24_5-USD,buy,0.64500000,177.00000000,8.0000,1
2026-05-07T16:17:35.866229Z,grvt,MSTR_USDT_Perp,sell,0.64500000,179.76000000,4.5000,1
2026-05-07T16:17:40.875424Z,extended,MSTR_24_5-USD,sell,0.64500000,176.86000000,8.0000,1
2026-05-07T16:17:40.875424Z,grvt,MSTR_USDT_Perp,buy,0.64500000,179.87000000,4.5000,1
2026-05-07T16:18:05.900084Z,extended,MSTR_24_5-USD,buy,1.95500000,177.11000000,8.0000,1
2026-05-07T16:18:05.901369Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:18:10.914384Z,extended,MSTR_24_5-USD,sell,1.95500000,176.89000000,8.0000,1
2026-05-07T16:18:10.914384Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:18:25.938391Z,extended,MSTR_24_5-USD,buy,1.95500000,176.88000000,8.0000,1
2026-05-07T16:18:25.943104Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:18:30.954804Z,extended,MSTR_24_5-USD,sell,1.95500000,176.79000000,8.0000,1
2026-05-07T16:18:30.954804Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:18:35.946971Z,extended,MSTR_24_5-USD,buy,1.63000000,176.93000000,8.0000,1
2026-05-07T16:18:35.951626Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:18:40.940346Z,extended,MSTR_24_5-USD,sell,1.63000000,176.81000000,8.0000,1
2026-05-07T16:18:40.945177Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:18:45.951112Z,extended,MSTR_24_5-USD,buy,1.63000000,176.82000000,8.0000,1
2026-05-07T16:18:45.956700Z,grvt,MSTR_USDT_Perp,sell,1.63000000,179.76000000,4.5000,1
2026-05-07T16:18:50.963910Z,extended,MSTR_24_5-USD,sell,1.63000000,176.76000000,8.0000,1
2026-05-07T16:18:50.966929Z,grvt,MSTR_USDT_Perp,buy,1.63000000,179.87000000,4.5000,1
2026-05-07T16:19:00.956902Z,extended,MSTR_24_5-USD,buy,2.00000000,176.78000000,8.0000,1
2026-05-07T16:19:00.956902Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:19:05.969814Z,extended,MSTR_24_5-USD,sell,2.00000000,176.55000000,8.0000,1
2026-05-07T16:19:05.970456Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:19:10.975221Z,extended,MSTR_24_5-USD,buy,1.95500000,176.77000000,8.0000,1
2026-05-07T16:19:10.975221Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:19:15.986345Z,extended,MSTR_24_5-USD,sell,1.95500000,176.68000000,8.0000,1
2026-05-07T16:19:15.986345Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:19:31.004948Z,extended,MSTR_24_5-USD,buy,1.95500000,176.81000000,8.0000,1
2026-05-07T16:19:31.005644Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:19:36.011697Z,extended,MSTR_24_5-USD,sell,1.95500000,176.65000000,8.0000,1
2026-05-07T16:19:36.011697Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
2026-05-07T16:20:06.016827Z,extended,MSTR_24_5-USD,buy,1.94500000,176.65000000,8.0000,1
2026-05-07T16:20:06.022132Z,grvt,MSTR_USDT_Perp,sell,1.94500000,179.76000000,4.5000,1
2026-05-07T16:20:51.081370Z,extended,MSTR_24_5-USD,sell,1.94500000,176.60000000,8.0000,1
2026-05-07T16:20:51.081370Z,grvt,MSTR_USDT_Perp,buy,1.94500000,179.87000000,4.5000,1
2026-05-07T16:21:26.147958Z,extended,MSTR_24_5-USD,buy,1.94000000,176.47000000,8.0000,1
2026-05-07T16:21:26.153044Z,grvt,MSTR_USDT_Perp,sell,1.94000000,179.76000000,4.5000,1
2026-05-07T16:21:31.153544Z,extended,MSTR_24_5-USD,sell,1.94000000,176.36000000,8.0000,1
2026-05-07T16:21:31.153544Z,grvt,MSTR_USDT_Perp,buy,1.94000000,179.87000000,4.5000,1
2026-05-07T16:21:51.180204Z,extended,MSTR_24_5-USD,buy,2.00000000,176.71000000,8.0000,1
2026-05-07T16:21:51.184532Z,grvt,MSTR_USDT_Perp,sell,2.00000000,179.76000000,4.5000,1
2026-05-07T16:21:56.194763Z,extended,MSTR_24_5-USD,sell,2.00000000,176.35000000,8.0000,1
2026-05-07T16:21:56.195269Z,grvt,MSTR_USDT_Perp,buy,2.00000000,179.87000000,4.5000,1
2026-05-07T16:22:06.204211Z,extended,MSTR_24_5-USD,buy,1.94500000,176.76000000,8.0000,1
2026-05-07T16:22:06.208104Z,grvt,MSTR_USDT_Perp,sell,1.94500000,179.76000000,4.5000,1
2026-05-07T16:22:11.197338Z,extended,MSTR_24_5-USD,sell,1.94500000,176.61000000,8.0000,1
2026-05-07T16:22:11.197338Z,grvt,MSTR_USDT_Perp,buy,1.94500000,179.87000000,4.5000,1
2026-05-07T16:22:31.235056Z,extended,MSTR_24_5-USD,buy,1.95500000,176.77000000,8.0000,1
2026-05-07T16:22:31.236609Z,grvt,MSTR_USDT_Perp,sell,1.95500000,179.76000000,4.5000,1
2026-05-07T16:23:46.313378Z,extended,MSTR_24_5-USD,sell,1.95500000,177.17000000,8.0000,1
2026-05-07T16:23:46.318246Z,grvt,MSTR_USDT_Perp,buy,1.95500000,179.87000000,4.5000,1
